"activity_period","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","geo_summary","geo_region","landing_aircraft_type","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","landing_count","total_landed_weight"
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Narrow Body","Boeing","737","522",144,15840000
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Narrow Body","Boeing","737","322",257,29298000
200812,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","757","300",46,10304000
200812,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","757","200",31,6138000
200812,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","737","900",48,7070400
200812,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","737","800",239,34416000
200812,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","737","700",12,1536000
200812,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","737","300",8,912000
200812,"US Airways","US","US Airways","US","Domestic","US","Passenger","Narrow Body","Airbus","A321","-",186,31899000
200812,"US Airways","US","US Airways","US","Domestic","US","Passenger","Narrow Body","Airbus","A320","231B",40,5684000
200812,"US Airways","US","US Airways","US","Domestic","US","Passenger","Narrow Body","Airbus","A320","231",60,8526000
200812,"US Airways","US","US Airways","US","Domestic","US","Passenger","Narrow Body","Airbus","A320","-",2,284400
200812,"US Airways","US","US Airways","US","Domestic","US","Passenger","Narrow Body","Airbus","A319","132",217,29880900
200812,"US Airways","US","US Airways","US","Domestic","US","Passenger","Narrow Body","Airbus","A319","131",3,413400
200812,"US Airways","US","US Airways","US","Domestic","US","Passenger","Narrow Body","Airbus","A319","-",10,1378000
200812,"US Airways","US","US Airways","US","Domestic","US","Passenger","Narrow Body","Boeing","737","300",32,3648000
200812,"TACA International Airlines, S.A.","TA","TACA International Airlines, S.A.","TA","International","Central America","Passenger","Narrow Body","Airbus","A320","-",42,5972400
200812,"TACA International Airlines, S.A.","TA","TACA International Airlines, S.A.","TA","International","Central America","Passenger","Narrow Body","Airbus","A319","-",2,275000
200812,"Sun Country Airlines","SY","Sun Country Airlines","SY","Domestic","US","Passenger","Narrow Body","Boeing","737","800",21,3070200
200812,"Southwest Airlines","WN","Southwest Airlines","WN","Domestic","US","Passenger","Narrow Body","Boeing","737","700",765,97920000
200812,"Southwest Airlines","WN","Southwest Airlines","WN","Domestic","US","Passenger","Narrow Body","Boeing","737","500",33,3630000
200812,"Southwest Airlines","WN","Southwest Airlines","WN","Domestic","US","Passenger","Narrow Body","Boeing","737","300",330,37620000
200812,"SkyWest Airlines","OO","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Turbo Prop","Embraer","EMB","120",1823,47033400
200812,"SkyWest Airlines","OO","Delta Air Lines","DL","Domestic","US","Passenger","Regional Jet","Bombardier","CRJ","900",100,7500000
